cutoff,start,end,startT,endT,dur,xpos,ypos,flankdataloss,fracinterped,RMSxy,BCEA,fixRangeX,fixRangeY,participant
1.0245382519299575,5451,5739,18167.695999999996,19130.859000000055,963.1630000000587,81.03178024291987,-24.86156702041626,0.0,0.0,0.18746795565077812,0.10026813925335827,0.7278234074872008,1.1819780461974776,Adult1
1.0245382519299575,5746,5821,19150.886000000057,19404.19000000006,253.30400000000373,6.908197402954102,-32.55253314971925,0.0,0.0,0.21834616828669534,0.09952143134742927,0.4262402750404737,0.6699867215901145,Adult1
1.0245382519299575,5825,5848,19414.150000000023,19494.22100000002,80.07099999999627,98.27705383300781,-51.67448937892914,0.0,0.0,0.19826213080517624,0.10249574559901171,0.6011458963122306,0.4188578569358639,Adult1
1.0245382519299575,5861,6087,19534.194000000018,20290.744000000064,756.5500000000466,565.0885963439941,-15.72243332862854,0.0,0.0,0.23633480433932605,0.6013477478477464,1.43638578955245,1.6523890221201714,Adult1
1.0245382519299575,6094,6386,20310.790000000037,21287.261999999988,976.4719999999506,536.3575744628906,4.0637558698654175,0.0,0.0,0.13920930862049508,0.4792144269884116,1.611481280009209,0.8097423921429364,Adult1
1.0245382519299575,6441,6530,21467.217000000062,21767.217000000062,300.0,548.7696933746337,19.009158611297607,0.0,0.0,0.14563237439168047,0.08971634045074325,0.46078042142712444,0.8373110718850372,Adult1
1.0245382519299575,6536,6663,21783.902000000002,22210.54700000002,426.6450000000186,593.3503532409668,8.255815207958221,0.0,0.0,0.14678157104063175,0.06795676256531856,0.5549769308978254,0.4515845938243281,Adult1
1.0245382519299575,6686,6823,22283.799,22743.803000000073,460.0040000000736,-113.82009029388428,-7.983871400356293,0.0,0.0,0.1884798502089816,0.10634950689362671,0.5984696767785943,0.8698362399028052,Adult1
1.0245382519299575,6830,7072,22763.751000000047,23573.71100000001,809.9599999999627,-49.16956901550293,-11.54340147972107,0.0,0.0,0.1619352856827398,0.19662704067553338,0.8695774679259783,0.6737394375615005,Adult1
1.0245382519299575,7078,7395,23590.380000000005,24650.193000000087,1059.813000000082,-0.7289743423462482,-1.8535324931144714,0.0,0.0,0.1349580079349709,0.20483149011550314,0.9365645197900213,0.8350163456742534,Adult1
1.0245382519299575,7401,7489,24666.859999999986,24963.496000000043,296.6360000000568,-50.29057502746582,-6.6881632804870605,0.0,0.0,0.13391311047797802,0.07960555779345675,0.5654705461363891,0.5333843252551557,Adult1
