Unnamed: 0,Subject,Event,TrialN,mean_pupil,time
152,Subject_1,Simple,5,0.0917828818744644,1550
153,Subject_1,Simple,5,0.123876067509062,1600
154,Subject_1,Simple,5,0.173524884875089,1650
155,Subject_1,Simple,5,0.214676211345986,1700
156,Subject_1,Simple,5,0.237895272114809,1750
157,Subject_1,Simple,5,0.285257031213976,1800
158,Subject_1,Simple,5,0.333027516234933,1850
159,Subject_1,Simple,5,0.369261295966622,1900
160,Subject_1,Simple,5,0.407171408341398,1950
161,Subject_1,Circle,6,0.0343441601686729,0
162,Subject_1,Circle,6,0.058132138140258,50
163,Subject_1,Circle,6,0.101413781298398,100
164,Subject_1,Circle,6,0.154619663243944,150
165,Subject_1,Circle,6,0.227814241670199,200
166,Subject_1,Circle,6,0.309200850982453,250
167,Subject_1,Circle,6,0.360352591344498,300
168,Subject_1,Circle,6,0.454561118973499,350
169,Subject_1,Circle,6,0.507287435677409,400
170,Subject_1,Circle,6,0.585603086662184,450
171,Subject_1,Circle,6,0.630270881909464,500
172,Subject_1,Circle,6,0.685570421838964,550
173,Subject_1,Circle,6,0.697626082996099,600
174,Subject_1,Circle,6,0.704523391717904,650
175,Subject_1,Circle,6,0.698871774259379,700
176,Subject_1,Circle,6,0.689311993414064,750
177,Subject_1,Circle,6,0.649059015619395,800
178,Subject_1,Circle,6,0.619901676071049,850
179,Subject_1,Circle,6,0.561110448247353,900
180,Subject_1,Circle,6,0.505205806252214,950
181,Subject_1,Circle,6,0.427637733877686,1000
182,Subject_1,Circle,6,0.329237120445344,1050
183,Subject_1,Circle,6,0.230836507013003,1100
184,Subject_1,Circle,6,0.132435893580662,1150
185,Subject_1,Circle,6,0.0340352801483204,1200
186,Subject_1,Circle,6,-0.0643653332840213,1250
187,Subject_1,Circle,6,-0.162765946716362,1300
188,Subject_1,Circle,6,-0.251778722274506,1350
189,Subject_1,Circle,6,-0.343542102879002,1400
190,Subject_1,Circle,6,-0.426131885353737,1450
191,Subject_1,Circle,6,-0.457285843352777,1500
192,Subject_1,Circle,6,-0.514187560031576,1550
193,Subject_1,Circle,6,-0.547665192739982,1600
194,Subject_1,Circle,6,-0.576572770259586,1650
195,Subject_1,Circle,6,-0.571280804633181,1700
196,Subject_1,Circle,6,-0.561019470749611,1750
197,Subject_1,Circle,6,-0.548089298883382,1800
198,Subject_1,Circle,6,-0.512399862604037,1850
199,Subject_1,Circle,6,-0.503074087658947,1900
200,Subject_1,Circle,6,-0.481516168178692,1950
201,Subject_1,Simple,7,0.0166602263246731,0
202,Subject_1,Simple,7,0.0072772033635986,50
203,Subject_1,Simple,7,0.0282926866292437,100
204,Subject_1,Simple,7,0.035253969329168,150
205,Subject_1,Simple,7,0.0186696033175688,200
206,Subject_1,Simple,7,0.0124072470339334,250
207,Subject_1,Simple,7,0.0109855381991539,300
208,Subject_1,Simple,7,-0.0194241993518864,350
209,Subject_1,Simple,7,-0.0382918015679623,400
210,Subject_1,Simple,7,-0.0231301758232116,450
211,Subject_1,Simple,7,-0.019978907372916,500
212,Subject_1,Simple,7,-0.0312422998858519,550
213,Subject_1,Simple,7,-0.0276292538983922,600
214,Subject_1,Simple,7,-0.0252774280247667,650
215,Subject_1,Simple,7,-0.0041382919483719,700
216,Subject_1,Simple,7,0.0347501655960536,750
217,Subject_1,Simple,7,0.0502107208257629,800
218,Subject_1,Simple,7,0.0855838573429035,850
219,Subject_1,Simple,7,0.112272337713753,900
220,Subject_1,Simple,7,0.164795326453094,950
221,Subject_1,Simple,7,0.194308194006498,1000
222,Subject_1,Simple,7,0.256560923191253,1050
223,Subject_1,Simple,7,0.307940238201528,1100
224,Subject_1,Simple,7,0.350942462198788,1150
225,Subject_1,Simple,7,0.388870169792703,1200
226,Subject_1,Simple,7,0.385981235035743,1250
227,Subject_1,Simple,7,0.420578315058029,1300
228,Subject_1,Simple,7,0.396503933045475,1350
229,Subject_1,Simple,7,0.366410955529783,1400
230,Subject_1,Simple,7,0.33631797801409,1450
231,Subject_1,Simple,7,0.306225000498398,1500
232,Subject_1,Simple,7,0.276132022982705,1550
233,Subject_1,Simple,7,0.246039045467013,1600
234,Subject_1,Simple,7,0.21594606795132,1650
235,Subject_1,Simple,7,0.179107425412488,1700
236,Subject_1,Simple,7,0.135016603503643,1750
237,Subject_1,Simple,7,0.0702483284224136,1800
238,Subject_1,Simple,7,0.0262545950436732,1850
239,Subject_1,Simple,7,-0.0368204620974768,1900
240,Subject_1,Simple,7,-0.101433531969092,1950
241,Subject_1,Simple,8,-0.0391233487330935,0
